CPU: [11th Gen Intel(R) Core(TM) i5-11400F @ 2.60GHz]
12 threads with OpenMP
Training data: (40000,3072) 468.8 MB
Validation data: (10000,3072) 117.2 MB
Testing data: (10000,3072) 117.2 MB

Network: cifar10cnn-student
Input, shape:[32,32,3], parameters: 0, memory:12.0 KB
Conv2D(ReLU), shape:[28,28,8] (k:5,s:1,pad:no), parameters:600, memory:29.2 KB
Maxpool2D shape:[14,14,8] (k:2,s:2), parameters:0, memory:6.1 KB
Conv2D(ReLU), shape:[12,12,16] (k:3,s:1,pad:no), parameters:1152, memory:18.0 KB
Maxpool2D shape:[6,6,16] (k:2,s:2), parameters:0, memory:2.2 KB
Conv2D(ReLU), shape:[4,4,32] (k:3,s:1,pad:no), parameters:4608, memory:38.0 KB
Maxpool2D shape:[2,2,32] (k:2,s:2), parameters:0, memory:512 bytes
Dense(ReLU), shape:[64], parameters:8256, memory:64.5 KB
Dense(Softmax), shape:[10], parameters:650, memory:5.1 KB

Training...
epoch: 147, time: 6.90 secs (speed 6242.7), loss (CCE): 22623.3945, validation accuracy: 0.6267
epoch: 148, time: 6.91 secs (speed 6224.8), loss (CCE): 22523.8926, validation accuracy: 0.6255
epoch: 149, time: 6.87 secs (speed 6264.2), loss (CCE): 22499.1270, validation accuracy: 0.6178
epoch: 150, time: 7.42 secs (speed 5691.5), loss (CCE): 22533.8125, validation accuracy: 0.6302
epoch: 151, time: 6.91 secs (speed 6243.8), loss (CCE): 22362.4258, validation accuracy: 0.6301
epoch: 152, time: 6.96 secs (speed 6201.1), loss (CCE): 22374.9551, validation accuracy: 0.6302
epoch: 153, time: 6.87 secs (speed 6288.0), loss (CCE): 22221.8965, validation accuracy: 0.6294
epoch: 154, time: 6.95 secs (speed 6195.7), loss (CCE): 22355.9473, validation accuracy: 0.6186
epoch: 155, time: 6.88 secs (speed 6229.1), loss (CCE): 22250.3164, validation accuracy: 0.6196
epoch: 156, time: 6.93 secs (speed 6188.8), loss (CCE): 22234.6133, validation accuracy: 0.6196
epoch: 157, time: 7.28 secs (speed 5954.1), loss (CCE): 22313.8184, validation accuracy: 0.6204
epoch: 158, time: 7.76 secs (speed 5529.4), loss (CCE): 22220.5117, validation accuracy: 0.6235
epoch: 159, time: 7.68 secs (speed 5550.2), loss (CCE): 22188.0508, validation accuracy: 0.6310
epoch: 160, time: 7.68 secs (speed 5558.8), loss (CCE): 22041.1094, validation accuracy: 0.6048
epoch: 161, time: 6.91 secs (speed 6242.5), loss (CCE): 22172.6562, validation accuracy: 0.6201
epoch: 162, time: 6.91 secs (speed 6240.6), loss (CCE): 21912.4062, validation accuracy: 0.6220
epoch: 163, time: 6.85 secs (speed 6291.6), loss (CCE): 22113.8789, validation accuracy: 0.6265
epoch: 164, time: 7.27 secs (speed 5946.0), loss (CCE): 22053.0352, validation accuracy: 0.6271
epoch: 165, time: 7.44 secs (speed 5655.2), loss (CCE): 22012.2871, validation accuracy: 0.6228
epoch: 166, time: 7.68 secs (speed 5564.8), loss (CCE): 21996.1543, validation accuracy: 0.6256
epoch: 167, time: 7.67 secs (speed 5545.2), loss (CCE): 21999.0879, validation accuracy: 0.6269
epoch: 168, time: 7.67 secs (speed 5588.6), loss (CCE): 21932.1406, validation accuracy: 0.6184
epoch: 169, time: 7.73 secs (speed 5524.2), loss (CCE): 21892.9805, validation accuracy: 0.6277
epoch: 170, time: 7.74 secs (speed 5513.5), loss (CCE): 21998.1094, validation accuracy: 0.6225
epoch: 171, time: 7.68 secs (speed 5552.0), loss (CCE): 21833.2090, validation accuracy: 0.6274
epoch: 172, time: 7.71 secs (speed 5559.0), loss (CCE): 21922.8477, validation accuracy: 0.6247
epoch: 173, time: 7.69 secs (speed 5562.8), loss (CCE): 21750.2812, validation accuracy: 0.6160
epoch: 174, time: 7.71 secs (speed 5529.4), loss (CCE): 21810.5605, validation accuracy: 0.6231
epoch: 175, time: 7.66 secs (speed 5576.3), loss (CCE): 21891.6855, validation accuracy: 0.6198
epoch: 176, time: 7.07 secs (speed 6048.5), loss (CCE): 21762.4219, validation accuracy: 0.6274
epoch: 177, time: 6.92 secs (speed 6264.3), loss (CCE): 21661.5938, validation accuracy: 0.6182
epoch: 178, time: 7.73 secs (speed 5532.0), loss (CCE): 21641.6133, validation accuracy: 0.6155
epoch: 179, time: 7.66 secs (speed 5575.6), loss (CCE): 21678.5273, validation accuracy: 0.6283
epoch: 180, time: 7.67 secs (speed 5575.4), loss (CCE): 21620.2695, validation accuracy: 0.6197
epoch: 181, time: 7.67 secs (speed 5595.5), loss (CCE): 21548.6250, validation accuracy: 0.6249
epoch: 182, time: 7.65 secs (speed 5590.0), loss (CCE): 21722.6504, validation accuracy: 0.6221
epoch: 183, time: 7.66 secs (speed 5559.7), loss (CCE): 21544.5312, validation accuracy: 0.6137
epoch: 184, time: 7.68 secs (speed 5582.6), loss (CCE): 21745.1836, validation accuracy: 0.6267
epoch: 185, time: 7.68 secs (speed 5547.3), loss (CCE): 21474.2051, validation accuracy: 0.6148
epoch: 186, time: 7.72 secs (speed 5533.2), loss (CCE): 21560.7461, validation accuracy: 0.6072
epoch: 187, time: 7.66 secs (speed 5584.9), loss (CCE): 21629.6621, validation accuracy: 0.6234
epoch: 188, time: 7.71 secs (speed 5554.9), loss (CCE): 21479.5410, validation accuracy: 0.6152
epoch: 189, time: 7.62 secs (speed 5611.9), loss (CCE): 21466.1133, validation accuracy: 0.6181
epoch: 190, time: 7.69 secs (speed 5569.6), loss (CCE): 21490.5586, validation accuracy: 0.6173
epoch: 191, time: 7.64 secs (speed 5570.4), loss (CCE): 21493.5176, validation accuracy: 0.6169
epoch: 192, time: 7.72 secs (speed 5520.8), loss (CCE): 21383.1250, validation accuracy: 0.6182
epoch: 193, time: 7.66 secs (speed 5567.8), loss (CCE): 21626.0566, validation accuracy: 0.6241
epoch: 194, time: 7.67 secs (speed 5572.6), loss (CCE): 21451.5273, validation accuracy: 0.6146
epoch: 195, time: 7.67 secs (speed 5579.1), loss (CCE): 21364.7305, validation accuracy: 0.6193
epoch: 196, time: 7.67 secs (speed 5573.6), loss (CCE): 21424.6992, validation accuracy: 0.6155
epoch: 197, time: 7.70 secs (speed 5523.8), loss (CCE): 21306.2461, validation accuracy: 0.6184
epoch: 198, time: 7.70 secs (speed 5545.3), loss (CCE): 21375.7949, validation accuracy: 0.6210
epoch: 199, time: 7.09 secs (speed 6074.4), loss (CCE): 21384.5645, validation accuracy: 0.6151
epoch: 200, time: 6.90 secs (speed 6240.7), loss (CCE): 21271.2695, validation accuracy: 0.6222
epoch: 201, time: 6.87 secs (speed 6254.8), loss (CCE): 21088.2227, validation accuracy: 0.6224
epoch: 202, time: 6.90 secs (speed 6249.0), loss (CCE): 21307.7363, validation accuracy: 0.6225
